image_name,image_path,label,score,prediction_best
0ceaac62c19eb77b75d3d34475d3615e_07500.jpg,C:\AI\fire_detection\data\val\images\0ceaac62c19eb77b75d3d34475d3615e_07500.jpg,0,0.01421350,1
0ceaac62c19eb77b75d3d34475d3615e_07580.jpg,C:\AI\fire_detection\data\val\images\0ceaac62c19eb77b75d3d34475d3615e_07580.jpg,0,0.01907287,1
0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,C:\AI\fire_detection\data\val\images\0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,0,0.01475495,1
20250526_firesmoke_00023.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00023.jpg,1,0.30401948,1
20250526_firesmoke_00062.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00062.jpg,0,0.00290223,0
20250526_firesmoke_00107.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00107.jpg,0,0.02755958,1
20250526_firesmoke_00185.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00185.jpg,1,0.00217011,0
20250526_firesmoke_00192.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00192.jpg,0,0.02780289,1
20250526_firesmoke_00336.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00336.jpg,0,0.01039346,1
20250526_firesmoke_00389.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00389.jpg,0,0.00391378,1
20250526_firesmoke_00640.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00640.jpg,1,0.81754011,1
20250526_firesmoke_00805.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00805.jpg,1,0.60202295,1
20250526_firesmoke_00845.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00845.jpg,1,0.01019177,1
20250526_firesmoke_00953.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_00953.jpg,0,0.00836905,1
20250526_firesmoke_01190.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_01190.jpg,1,0.42839149,1
20250526_firesmoke_02829.jpg,C:\AI\fire_detection\data\val\images\20250526_firesmoke_02829.jpg,0,0.00951988,1
20260116_fs_sjt_00002.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00002.jpg,1,0.01497399,1
20260116_fs_sjt_00008.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00008.jpg,1,0.18079634,1
20260116_fs_sjt_00012.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00012.jpg,1,0.00343314,1
20260116_fs_sjt_00020.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00020.jpg,1,0.09368441,1
20260116_fs_sjt_00025.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00025.jpg,1,0.09237684,1
20260116_fs_sjt_00033.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00033.jpg,1,0.09441804,1
20260116_fs_sjt_00086.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00086.jpg,1,0.14833476,1
20260116_fs_sjt_00089.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00089.jpg,1,0.01427318,1
20260116_fs_sjt_00091.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00091.jpg,1,0.28226256,1
20260116_fs_sjt_00097.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00097.jpg,1,0.00246959,0
20260116_fs_sjt_00098.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00098.jpg,0,0.00182238,0
20260116_fs_sjt_00104.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00104.jpg,0,0.00583941,1
20260116_fs_sjt_00105.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00105.jpg,0,0.00288979,0
20260116_fs_sjt_00112.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00112.jpg,1,0.00385920,1
20260116_fs_sjt_00120.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00120.jpg,1,0.05376776,1
20260116_fs_sjt_00121.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00121.jpg,0,0.06107434,1
20260116_fs_sjt_00126.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00126.jpg,1,0.12185159,1
20260116_fs_sjt_00134.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00134.jpg,0,0.00201555,0
20260116_fs_sjt_00139.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00139.jpg,1,0.03839039,1
20260116_fs_sjt_00149.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00149.jpg,0,0.00664187,1
20260116_fs_sjt_00155.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00155.jpg,1,0.00587450,1
20260116_fs_sjt_00156.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00156.jpg,1,0.15184915,1
20260116_fs_sjt_00157.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00157.jpg,1,0.27362388,1
20260116_fs_sjt_00167.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00167.jpg,1,0.14986399,1
20260116_fs_sjt_00204.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00204.jpg,0,0.00253255,0
20260116_fs_sjt_00213.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00213.jpg,1,0.13676459,1
20260116_fs_sjt_00219.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00219.jpg,0,0.01735926,1
20260116_fs_sjt_00241.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00241.jpg,1,0.15588410,1
20260116_fs_sjt_00256.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00256.jpg,1,0.00408348,1
20260116_fs_sjt_00267.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00267.jpg,1,0.15118501,1
20260116_fs_sjt_00304.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00304.jpg,0,0.00697064,1
20260116_fs_sjt_00309.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00309.jpg,1,0.00960959,1
20260116_fs_sjt_00321.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00321.jpg,0,0.00298946,0
20260116_fs_sjt_00322.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00322.jpg,1,0.00343535,1
20260116_fs_sjt_00359.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00359.jpg,1,0.71212268,1
20260116_fs_sjt_00366.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00366.jpg,1,0.02791951,1
20260116_fs_sjt_00371.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00371.jpg,0,0.00443946,1
20260116_fs_sjt_00372.jpg,C:\AI\fire_detection\data\val\images\20260116_fs_sjt_00372.jpg,0,0.04121912,1
