val_image,nearest_train,hamming64
20260116_fs_sjt_00025.jpg,20260116_fs_sjt_00957.jpg,0
20260116_fs_sjt_00429.jpg,20260116_fs_sjt_00200.jpg,0
20260116_fs_sjt_00649.jpg,20260116_fs_sjt_00353.jpg,0
20260116_fs_sjt_00731.jpg,20260116_fs_sjt_00452.jpg,0
20260320_sjt_fs_1617.jpg,20260320_sjt_fs_1619.jpg,0
20260320_sjt_fs_1673.jpg,20260320_sjt_fs_1663.jpg,0
20260320_sjt_fs_1674.jpg,20260320_sjt_fs_1663.jpg,0
20260320_sjt_fs_1707.jpg,20260320_sjt_fs_1683.jpg,0
20260320_sjt_fs_1761.jpg,20260320_sjt_fs_1734.jpg,0
20260320_sjt_fs_1773.jpg,20260320_sjt_fs_1735.jpg,0
20260320_sjt_fs_1791.jpg,20260320_sjt_fs_1790.jpg,0
20260320_sjt_fs_1800.jpg,20260320_sjt_fs_1799.jpg,0
20260320_sjt_fs_1835.jpg,20260320_sjt_fs_1798.jpg,0
20260320_sjt_fs_1901.jpg,20260320_sjt_fs_1902.jpg,0
20260320_sjt_fs_1939.jpg,20260320_sjt_fs_1940.jpg,0
20260320_sjt_fs_1962.jpg,20260320_sjt_fs_1940.jpg,0
20260320_sjt_fs_1979.jpg,20260320_sjt_fs_1972.jpg,0
20260320_sjt_fs_1981.jpg,20260320_sjt_fs_1940.jpg,0
20260320_sjt_fs_2005.jpg,20260320_sjt_fs_1997.jpg,0
20260320_sjt_fs_2021.jpg,20260320_sjt_fs_2004.jpg,0
20260320_sjt_fs_2061.jpg,20260320_sjt_fs_2089.jpg,0
20260320_sjt_fs_2077.jpg,20260320_sjt_fs_2060.jpg,0
20260116_fs_sjt_00156.jpg,20260116_fs_sjt_00228.jpg,1
20260116_fs_sjt_00504.jpg,20260116_fs_sjt_00500.jpg,1
20260116_fs_sjt_00540.jpg,20260116_fs_sjt_00831.jpg,1
20260116_fs_sjt_00883.jpg,20260116_fs_sjt_00507.jpg,1
20260116_fs_sjt_01053.jpg,20260116_fs_sjt_00240.jpg,1
20260320_sjt_fs_1435.jpg,20260320_sjt_fs_1434.jpg,1
20260320_sjt_fs_1508.jpg,20260320_sjt_fs_1510.jpg,1
20260320_sjt_fs_1526.jpg,20260320_sjt_fs_1552.jpg,1
20260320_sjt_fs_1708.jpg,20260320_sjt_fs_1661.jpg,1
20260320_sjt_fs_1818.jpg,20260320_sjt_fs_1799.jpg,1
20260320_sjt_fs_1895.jpg,20260320_sjt_fs_1921.jpg,1
20260320_sjt_fs_1922.jpg,20260320_sjt_fs_1866.jpg,1
20260320_sjt_fs_1950.jpg,20260320_sjt_fs_1972.jpg,1
20260320_sjt_fs_1951.jpg,20260320_sjt_fs_1972.jpg,1
20260320_sjt_fs_2022.jpg,20260320_sjt_fs_2004.jpg,1
20260320_sjt_fs_2051.jpg,20260320_sjt_fs_2052.jpg,1
20260320_sjt_fs_2080.jpg,20260320_sjt_fs_2053.jpg,1
20260116_fs_sjt_00322.jpg,20260116_fs_sjt_00678.jpg,2
20260116_fs_sjt_00975.jpg,20260116_fs_sjt_00416.jpg,2
20260116_fs_sjt_01017.jpg,20260116_fs_sjt_00264.jpg,2
20260320_sjt_fs_1354.jpg,20260320_sjt_fs_1336.jpg,2
20260320_sjt_fs_1509.jpg,20260320_sjt_fs_1510.jpg,2
20260320_sjt_fs_1554.jpg,20260320_sjt_fs_1552.jpg,2
20260320_sjt_fs_1581.jpg,20260320_sjt_fs_1574.jpg,2
20260320_sjt_fs_1886.jpg,20260320_sjt_fs_1920.jpg,2
0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,0ceaac62c19eb77b75d3d34475d3615e_07700.jpg,3
20260116_fs_sjt_00089.jpg,20260116_fs_sjt_01046.jpg,3
20260116_fs_sjt_00157.jpg,20260116_fs_sjt_00240.jpg,3
20260116_fs_sjt_00371.jpg,20260116_fs_sjt_00668.jpg,3
20260116_fs_sjt_00467.jpg,20260116_fs_sjt_00507.jpg,3
20260116_fs_sjt_00858.jpg,20260116_fs_sjt_00641.jpg,3
20260116_fs_sjt_00894.jpg,20260116_fs_sjt_00101.jpg,3
20260320_sjt_fs_1606.jpg,20260320_sjt_fs_1605.jpg,3
20260320_sjt_fs_1649.jpg,20260320_sjt_fs_1683.jpg,3
raw_fire_relabel_dp_20625.jpg,raw_fire_relabel_dp_20640.jpg,3
20250526_firesmoke_00192.jpg,20250526_firesmoke_03258.jpg,4
20260116_fs_sjt_00134.jpg,20260116_fs_sjt_00675.jpg,4
20260116_fs_sjt_00139.jpg,20260116_fs_sjt_00169.jpg,4
20260116_fs_sjt_00267.jpg,20260116_fs_sjt_00316.jpg,4
20260116_fs_sjt_00973.jpg,20260116_fs_sjt_00714.jpg,4
20260320_sjt_fs_1535.jpg,20260320_sjt_fs_1536.jpg,4
20260116_fs_sjt_00204.jpg,20260116_fs_sjt_00016.jpg,5
20260116_fs_sjt_00359.jpg,20260116_fs_sjt_00551.jpg,5
20260116_fs_sjt_00366.jpg,20260116_fs_sjt_00502.jpg,5
20260116_fs_sjt_00439.jpg,20260116_fs_sjt_00747.jpg,5
20260116_fs_sjt_01029.jpg,20260116_fs_sjt_00249.jpg,5
20260320_sjt_fs_1580.jpg,20260320_sjt_fs_1574.jpg,5
20260116_fs_sjt_00149.jpg,20260116_fs_sjt_00004.jpg,6
20260116_fs_sjt_00167.jpg,20260116_fs_sjt_00921.jpg,6
20260116_fs_sjt_00304.jpg,20260116_fs_sjt_00587.jpg,6
20260116_fs_sjt_00597.jpg,20260116_fs_sjt_00187.jpg,6
20260116_fs_sjt_00830.jpg,20260116_fs_sjt_01046.jpg,6
20260116_fs_sjt_01063.jpg,20260116_fs_sjt_00884.jpg,6
20260320_sjt_fs_1650.jpg,20260320_sjt_fs_1651.jpg,6
raw_fire_relabel_dp_20523.jpg,raw_fire_relabel_dp_20590.jpg,6
raw_fire_relabel_dp_20664.jpg,20260116_fs_sjt_00031.jpg,6
20250526_firesmoke_00640.jpg,20250526_firesmoke_01294.jpg,7
20260116_fs_sjt_00091.jpg,20250526_firesmoke_00856.jpg,7
20260116_fs_sjt_00121.jpg,20260116_fs_sjt_00630.jpg,7
20260116_fs_sjt_00256.jpg,20260116_fs_sjt_00465.jpg,8
20260116_fs_sjt_00412.jpg,20260116_fs_sjt_00031.jpg,8
20260116_fs_sjt_00622.jpg,20260116_fs_sjt_00211.jpg,8
20260116_fs_sjt_00847.jpg,20260116_fs_sjt_00964.jpg,8
0ceaac62c19eb77b75d3d34475d3615e_07580.jpg,0ceaac62c19eb77b75d3d34475d3615e_07770.jpg,9
20260116_fs_sjt_00097.jpg,20260116_fs_sjt_00054.jpg,9
20260116_fs_sjt_00454.jpg,20260116_fs_sjt_00004.jpg,9
20260116_fs_sjt_01009.jpg,20260116_fs_sjt_00289.jpg,9
raw_fire_relabel_dp_20334.jpg,20260116_fs_sjt_00217.jpg,9
0ceaac62c19eb77b75d3d34475d3615e_07500.jpg,0ceaac62c19eb77b75d3d34475d3615e_07785.jpg,10
20260116_fs_sjt_00098.jpg,20260116_fs_sjt_00714.jpg,10
20260116_fs_sjt_00213.jpg,20260116_fs_sjt_00921.jpg,10
20260116_fs_sjt_00466.jpg,20260320_sjt_fs_1973.jpg,10
raw_fire_relabel_dp_20467.jpg,20260116_fs_sjt_00501.jpg,10
20250526_firesmoke_00062.jpg,20260116_fs_sjt_00501.jpg,11
20250526_firesmoke_00185.jpg,20260116_fs_sjt_00569.jpg,11
20260116_fs_sjt_00020.jpg,20260116_fs_sjt_00577.jpg,11
20260116_fs_sjt_00155.jpg,20260116_fs_sjt_00380.jpg,11
20260116_fs_sjt_00893.jpg,20260116_fs_sjt_00228.jpg,11
raw_fire_relabel_dp_20645.jpg,20260116_fs_sjt_00153.jpg,11
20260116_fs_sjt_00086.jpg,20250526_firesmoke_01146.jpg,12
20260116_fs_sjt_00241.jpg,20250526_firesmoke_01146.jpg,12
20260116_fs_sjt_00440.jpg,20260116_fs_sjt_00448.jpg,12
20260116_fs_sjt_00658.jpg,20260116_fs_sjt_00187.jpg,12
20260116_fs_sjt_00729.jpg,raw_fire_relabel_dp_20663.jpg,12
20260116_fs_sjt_00947.jpg,20260116_fs_sjt_00228.jpg,12
20260116_fs_sjt_00963.jpg,20260116_fs_sjt_00031.jpg,12
20260116_fs_sjt_01038.jpg,raw_fire_relabel_dp_20465.jpg,12
raw_fire_relabel_dp_20675.jpg,raw_fire_relabel_dp_20695.jpg,12
raw_fire_relabel_dp_20694.jpg,20260116_fs_sjt_00230.jpg,12
20250526_firesmoke_00023.jpg,raw_fire_relabel_dp_20499.jpg,13
20250526_firesmoke_00107.jpg,20260116_fs_sjt_00000.jpg,13
20250526_firesmoke_02829.jpg,20260116_fs_sjt_00543.jpg,13
20260116_fs_sjt_00012.jpg,20260116_fs_sjt_00720.jpg,13
20260116_fs_sjt_00104.jpg,20260116_fs_sjt_00505.jpg,13
20260116_fs_sjt_00126.jpg,20260116_fs_sjt_00982.jpg,13
20260116_fs_sjt_00321.jpg,20260116_fs_sjt_00289.jpg,13
20260116_fs_sjt_00822.jpg,raw_fire_relabel_dp_20328.jpg,13
20260116_fs_sjt_00928.jpg,20260116_fs_sjt_00031.jpg,13
raw_fire_relabel_dp_20332.jpg,20260116_fs_sjt_00720.jpg,13
raw_fire_relabel_dp_20483.jpg,20260116_fs_sjt_00344.jpg,13
raw_fire_relabel_dp_20491.jpg,20260116_fs_sjt_00875.jpg,13
raw_fire_relabel_dp_20604.jpg,20260116_fs_sjt_00828.jpg,13
raw_fire_relabel_dp_20670.jpg,20260116_fs_sjt_00501.jpg,13
20260116_fs_sjt_00008.jpg,20260320_sjt_fs_1940.jpg,14
20260116_fs_sjt_00392.jpg,20260116_fs_sjt_00873.jpg,14
20260116_fs_sjt_00522.jpg,raw_fire_relabel_dp_20355.jpg,14
20260116_fs_sjt_00696.jpg,20260116_fs_sjt_00603.jpg,14
20260116_fs_sjt_00776.jpg,20250526_firesmoke_00071.jpg,14
raw_fire_relabel_dp_20333.jpg,20260116_fs_sjt_00714.jpg,14
raw_fire_relabel_dp_20386.jpg,20260116_fs_sjt_00000.jpg,14
raw_fire_relabel_dp_20431.jpg,20260116_fs_sjt_01000.jpg,14
raw_fire_relabel_dp_20564.jpg,raw_fire_relabel_dp_20695.jpg,14
raw_fire_relabel_dp_20596.jpg,20250526_firesmoke_00388.jpg,14
20250526_firesmoke_00336.jpg,raw_fire_relabel_dp_20449.jpg,15
20250526_firesmoke_00953.jpg,raw_fire_relabel_dp_20459.jpg,15
20250526_firesmoke_01190.jpg,20250526_firesmoke_00645.jpg,15
20260116_fs_sjt_00002.jpg,20260116_fs_sjt_00501.jpg,15
20260116_fs_sjt_00105.jpg,20260116_fs_sjt_00023.jpg,15
20260116_fs_sjt_00372.jpg,20260116_fs_sjt_00431.jpg,15
20260116_fs_sjt_00532.jpg,20260116_fs_sjt_00829.jpg,15
20260116_fs_sjt_00561.jpg,raw_fire_relabel_dp_20603.jpg,15
20260116_fs_sjt_00640.jpg,20260116_fs_sjt_00310.jpg,15
20260116_fs_sjt_01001.jpg,20260320_sjt_fs_1605.jpg,15
raw_fire_relabel_dp_20382.jpg,20260116_fs_sjt_00380.jpg,15
raw_fire_relabel_dp_20399.jpg,raw_fire_relabel_dp_20624.jpg,15
raw_fire_relabel_dp_20436.jpg,20260116_fs_sjt_00990.jpg,15
raw_fire_relabel_dp_20563.jpg,20260116_fs_sjt_01090.jpg,15
20250526_firesmoke_00389.jpg,20260116_fs_sjt_00631.jpg,16
20250526_firesmoke_00805.jpg,20260320_sjt_fs_2004.jpg,16
20260116_fs_sjt_00309.jpg,20260116_fs_sjt_00524.jpg,16
20260116_fs_sjt_00437.jpg,20250526_firesmoke_00407.jpg,16
20260116_fs_sjt_00459.jpg,20260116_fs_sjt_00570.jpg,16
20260116_fs_sjt_00911.jpg,20260116_fs_sjt_00071.jpg,16
20260116_fs_sjt_00927.jpg,20250526_firesmoke_01189.jpg,16
20260116_fs_sjt_01065.jpg,20260116_fs_sjt_00559.jpg,16
20260116_fs_sjt_01072.jpg,raw_fire_relabel_dp_20469.jpg,16
raw_fire_relabel_dp_20377.jpg,20260116_fs_sjt_00133.jpg,16
raw_fire_relabel_dp_20403.jpg,20260116_fs_sjt_00804.jpg,16
raw_fire_relabel_dp_20453.jpg,20260116_fs_sjt_00362.jpg,16
raw_fire_relabel_dp_20479.jpg,20260116_fs_sjt_00525.jpg,16
raw_fire_relabel_dp_20507.jpg,20260116_fs_sjt_00605.jpg,16
raw_fire_relabel_dp_20595.jpg,20260116_fs_sjt_00560.jpg,16
raw_fire_relabel_dp_20651.jpg,raw_fire_relabel_dp_20392.jpg,16
raw_fire_relabel_dp_20655.jpg,raw_fire_relabel_dp_20502.jpg,16
raw_fire_relabel_dp_20662.jpg,20260116_fs_sjt_00505.jpg,16
raw_fire_relabel_dp_20666.jpg,20250526_firesmoke_00644.jpg,16
raw_fire_relabel_dp_20686.jpg,20260116_fs_sjt_00937.jpg,16
20250526_firesmoke_00845.jpg,20260116_fs_sjt_00442.jpg,17
