image_path,image_name,label,split,source_image,source_path,proposal_type,model,confidence,max_iou,x1,y1,x2,y2
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690__tile_00_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07690__tile_00_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,negative_tile,none,0.0,0.0,230,340,420,530
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690__tile_01_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07690__tile_01_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,negative_tile,none,0.0,0.0,508,20,698,210
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690__tile_02_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07690__tile_02_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,negative_tile,none,0.0,0.0,750,142,940,332
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690__tile_03_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07690__tile_03_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07690.jpg,negative_tile,none,0.0,0.0,751,196,941,386
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695__tile_00_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07695__tile_00_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,negative_tile,none,0.0,0.0,193,113,383,303
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695__tile_01_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07695__tile_01_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,negative_tile,none,0.0,0.0,595,303,785,493
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695__tile_02_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07695__tile_02_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,negative_tile,none,0.0,0.0,476,71,666,261
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695__tile_03_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07695__tile_03_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07695.jpg,negative_tile,none,0.0,0.0,712,198,902,388
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07700__tile_00_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07700__tile_00_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07700.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07700.jpg,negative_tile,none,0.0,0.0,14,57,204,247
C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\crop_data_reg1\train\images\0ceaac62c19eb77b75d3d34475d3615e_07700__tile_01_n.jpg,0ceaac62c19eb77b75d3d34475d3615e_07700__tile_01_n.jpg,0,train,0ceaac62c19eb77b75d3d34475d3615e_07700.jpg,C:\Users\CoirRaincoat\PyCharmMiscProject\AIcontest\AI\audit\competition_review\remediation_g1\dataset\train\images\0ceaac62c19eb77b75d3d34475d3615e_07700.jpg,negative_tile,none,0.0,0.0,612,192,802,382
