image_name,prediction,siglip_score,siglip_positive,dino_score,dino_positive,crop_score,crop_rescue,yolo_votes,yolo26m,yolo26s,yolo26s_aug
20260116_fs_sjt_00372.jpg,1,0.82080078,1,0.45754656,1,0.75927734,0,3,1,1,1
20260116_fs_sjt_00454.jpg,1,0.81689453,1,0.90667945,1,0.97021484,1,3,1,1,1
20260116_fs_sjt_00522.jpg,0,0.00588989,0,0.00664721,0,0.68847656,0,3,1,1,1
20260116_fs_sjt_00911.jpg,1,0.98876953,1,0.97594666,1,0.97167969,1,3,1,1,1
20260116_fs_sjt_01002.jpg,1,0.87109375,1,0.64609665,1,0.84375000,0,1,0,1,0
20260320_sjt_fs_1979.jpg,1,0.73632812,1,0.35208735,1,0.97216797,1,3,1,1,1
raw_fire_relabel_dp_20333.jpg,1,0.92480469,1,0.40850306,1,0.72460938,0,2,0,1,1
raw_fire_relabel_dp_20467.jpg,0,0.32666016,1,0.07579937,0,0.96826172,0,3,1,1,1
raw_fire_relabel_dp_20563.jpg,0,0.85449219,1,0.96881783,1,0.95800781,0,0,0,0,0
raw_fire_relabel_dp_20564.jpg,1,0.87646484,1,0.76636505,1,0.97021484,1,1,0,0,1
raw_fire_relabel_dp_20611.jpg,0,0.91894531,1,0.72933793,1,0.68798828,0,0,0,0,0
raw_fire_relabel_dp_20662.jpg,1,0.62109375,1,0.60413289,1,0.94287109,0,3,1,1,1
